id,created_at,text,,,,,,,,,,
1.50E+18,2022-03-12T14:55:14.000Z,A Visual Guide To Europe's Member States https://t.co/G1uCH3lAO1,,,,,,,,,,
1.50E+18,2022-03-12T14:20:16.000Z,Rickards: The Sanctions Boomerang &amp; Putin's Options https://t.co/o7DdbGid05,,,,,,,,,,
1.50E+18,2022-03-12T14:00:18.000Z,"RUSSIA'S RYABKOV SAYS RUSSIAN FEDERATION IS SATISFIED WITH THE DIALOGUE WITH CHINA, IT IS A RELIABLE PARTNER OF RUSSIA",,,,,,,,,,
1.50E+18,2022-03-12T13:59:21.000Z,"UKRAINE'S ZELENSKIY SAYS WEST NOT INVOLVED ENOUGH IN PEACE NEGOTIATIONS

UKRAINE'S ZELENSKIY SAYS HE DOESN'T SEE COMMON CONSENSUS TO ACCEPT UKRAINE INTO NATO",,,,,,,,,,
1.50E+18,2022-03-12T13:45:15.000Z,"Amid Ukraine War, Russia ""Ready"" To Resume Strategic Arms Reduction Talks With US https://t.co/8CSatNHScB",,,,,,,,,,
1.50E+18,2022-03-12T13:10:15.000Z,Foreign Volunteers Who Join Fight Against Russia Can Get Citizenship: Ukraine https://t.co/3oToxaEHU2,,,,,,,,,,
1.50E+18,2022-03-12T12:35:15.000Z,VPN Use Surges In Ukraine And Russia https://t.co/ofg4QCMnbF,,,,,,,,,,
1.50E+18,2022-03-12T04:40:13.000Z,CCP Seeks New Global Order At 'Expense Of All Others': US Admiral https://t.co/YF5LWXnt2c,,,,,,,,,,
1.50E+18,2022-03-12T04:20:14.000Z,"62-Mile-High-Club? NASA To Study Sex-In-Space, Crucial To Life On Mars https://t.co/66Gz3L0u4R",,,,,,,,,,
1.50E+18,2022-03-12T04:00:14.000Z,Joe Biden???s Electric Car Plans Support The World???s Worst Humanitarian Abuses https://t.co/XVM13bmVQz,,,,,,,,,,
1.50E+18,2022-03-12T03:40:13.000Z,Russia Threatens To Leave US Astronaut And Abandon Space Station?? https://t.co/PfI2UpIQCs,,,,,,,,,,
1.50E+18,2022-03-12T03:00:15.000Z,"Mapped: Where America's Truckers Live, By State https://t.co/AU8GeiEPId",,,,,,,,,,
1.50E+18,2022-03-12T02:40:15.000Z,"DuckDuckGo Updates Search Engine, Will Penalize Sites 'Associated With Disinformation' https://t.co/xlEQ7rFoCC",,,,,,,,,,
