,created_at,id,text,author_id,tokens
0,2022-03-12T14:55:14.000Z,1502659488347791366,A Visual Guide To Europe's Member States https://t.co/G1uCH3lAO1,18856867,"['a', 'visual', 'guide', 'to', 'europe', 'member', 'state', 'httpstcoguchlao']"
1,2022-03-12T14:20:16.000Z,1502650687544508420,Rickards: The Sanctions Boomerang &amp; Putin's Options https://t.co/o7DdbGid05,18856867,"['rickards', 'the', 'sanction', 'boomerang', 'amp', 'putin', 'option', 'httpstcooddbgid']"
2,2022-03-12T14:00:18.000Z,1502645662026018816,"RUSSIA'S RYABKOV SAYS RUSSIAN FEDERATION IS SATISFIED WITH THE DIALOGUE WITH CHINA, IT IS A RELIABLE PARTNER OF RUSSIA",18856867,"['russia', 'ryabkov', 'say', 'russian', 'federation', 'is', 'satisfied', 'with', 'the', 'dialogue', 'with', 'china', 'it', 'is', 'a', 'reliable', 'partner', 'of', 'russia']"
3,2022-03-12T13:59:21.000Z,1502645425836367874,"UKRAINE'S ZELENSKIY SAYS WEST NOT INVOLVED ENOUGH IN PEACE NEGOTIATIONS

UKRAINE'S ZELENSKIY SAYS HE DOESN'T SEE COMMON CONSENSUS TO ACCEPT UKRAINE INTO NATO",18856867,"['ukraine', 'zelenskiy', 'say', 'west', 'not', 'involved', 'enough', 'in', 'peace', 'negotiationsukraines', 'zelenskiy', 'say', 'he', 'doesnt', 'see', 'common', 'consensus', 'to', 'accept', 'ukraine', 'into', 'nato']"
4,2022-03-12T13:45:15.000Z,1502641876263915520,"Amid Ukraine War, Russia ""Ready"" To Resume Strategic Arms Reduction Talks With US https://t.co/8CSatNHScB",18856867,"['amid', 'ukraine', 'war', 'russia', 'ready', 'to', 'resume', 'strategic', 'arm', 'reduction', 'talk', 'with', 'u', 'httpstcocsatnhscb']"
5,2022-03-12T13:10:15.000Z,1502633067961278467,Foreign Volunteers Who Join Fight Against Russia Can Get Citizenship: Ukraine https://t.co/3oToxaEHU2,18856867,"['foreign', 'volunteer', 'who', 'join', 'fight', 'against', 'russia', 'can', 'get', 'citizenship', 'ukraine', 'httpstcootoxaehu']"
6,2022-03-12T12:35:15.000Z,1502624257657954312,VPN Use Surges In Ukraine And Russia https://t.co/ofg4QCMnbF,18856867,"['vpn', 'use', 'surge', 'in', 'ukraine', 'and', 'russia', 'httpstcoofgqcmnbf']"
7,2022-03-12T04:40:13.000Z,1502504714226839552,CCP Seeks New Global Order At 'Expense Of All Others': US Admiral https://t.co/YF5LWXnt2c,18856867,"['ccp', 'seek', 'new', 'global', 'order', 'at', 'expense', 'of', 'all', 'others', 'u', 'admiral', 'httpstcoyflwxntc']"
8,2022-03-12T04:20:14.000Z,1502499683800866816,"62-Mile-High-Club? NASA To Study Sex-In-Space, Crucial To Life On Mars https://t.co/66Gz3L0u4R",18856867,"['milehighclub', 'nasa', 'to', 'study', 'sexinspace', 'crucial', 'to', 'life', 'on', 'mar', 'httpstcogzlur']"
9,2022-03-12T04:00:14.000Z,1502494649449160704,Joe Biden’s Electric Car Plans Support The World’s Worst Humanitarian Abuses https://t.co/XVM13bmVQz,18856867,"['joe', 'bidens', 'electric', 'car', 'plan', 'support', 'the', 'world', 'worst', 'humanitarian', 'abuse', 'httpstcoxvmbmvqz']"
10,2022-03-12T03:40:13.000Z,1502489615726428161,Russia Threatens To Leave US Astronaut And Abandon Space Station  https://t.co/PfI2UpIQCs,18856867,"['russia', 'threatens', 'to', 'leave', 'u', 'astronaut', 'and', 'abandon', 'space', 'station', 'httpstcopfiupiqcs']"
11,2022-03-12T03:00:15.000Z,1502479554237153282,"Mapped: Where America's Truckers Live, By State https://t.co/AU8GeiEPId",18856867,"['mapped', 'where', 'america', 'trucker', 'live', 'by', 'state', 'httpstcoaugeiepid']"
12,2022-03-12T02:40:15.000Z,1502474524775825414,"DuckDuckGo Updates Search Engine, Will Penalize Sites 'Associated With Disinformation' https://t.co/xlEQ7rFoCC",18856867,"['duckduckgo', 'update', 'search', 'engine', 'will', 'penalize', 'site', 'associated', 'with', 'disinformation', 'httpstcoxleqrfocc']"
13,2022-03-12T02:20:13.000Z,1502469481863520258,North Korea Rebuilds Nuclear Testing Site After 2018 Collapse https://t.co/Acz3deCSnK,18856867,"['north', 'korea', 'rebuilds', 'nuclear', 'testing', 'site', 'after', 'collapse', 'httpstcoaczdecsnk']"
14,2022-03-12T02:00:17.000Z,1502464464377073666,Democrat Spending Bill Contains 'Serious Expansion of Federal Gun Control': Gun Rights Group https://t.co/MxefiLVzuC,18856867,"['democrat', 'spending', 'bill', 'contains', 'serious', 'expansion', 'of', 'federal', 'gun', 'control', 'gun', 'right', 'group', 'httpstcomxefilvzuc']"
15,2022-03-12T01:40:14.000Z,1502459417547218944,Russia Soars Past Iran &amp; Syria To Become World's 'Most-Sanctioned' Country https://t.co/byAauKzCCy,18856867,"['russia', 'soar', 'past', 'iran', 'amp', 'syria', 'to', 'become', 'world', 'mostsanctioned', 'country', 'httpstcobyaaukzccy']"
16,2022-03-12T01:20:13.000Z,1502454382377512964,The Next Terror Wave Looms https://t.co/OCTNPmUxSV,18856867,"['the', 'next', 'terror', 'wave', 'loom', 'httpstcooctnpmuxsv']"
17,2022-03-12T01:00:15.000Z,1502449355667775490,"Democrats Would Lose Control Of Congress If Election Were Held Today, New Polls Show https://t.co/DvB15dqqwZ",18856867,"['democrat', 'would', 'lose', 'control', 'of', 'congress', 'if', 'election', 'were', 'held', 'today', 'new', 'poll', 'show', 'httpstcodvbdqqwz']"
18,2022-03-12T00:40:15.000Z,1502444323102760967,"Russian Invasion Of Ukraine Is 'Crime Against Humanity,' Has To End Soon: Trump https://t.co/XJY2E4tFOo",18856867,"['russian', 'invasion', 'of', 'ukraine', 'is', 'crime', 'against', 'humanity', 'ha', 'to', 'end', 'soon', 'trump', 'httpstcoxjyetfoo']"
19,2022-03-12T00:20:15.000Z,1502439289455583241,American Police Have So Much Gear That They're Sending It To Ukraine https://t.co/nG6WvarbXN,18856867,"['american', 'police', 'have', 'so', 'much', 'gear', 'that', 'theyre', 'sending', 'it', 'to', 'ukraine', 'httpstcongwvarbxn']"
20,2022-03-12T00:02:29.000Z,1502434818411405313,Word on the street Glencore London lost 700m this week,18856867,"['word', 'on', 'the', 'street', 'glencore', 'london', 'lost', 'm', 'this', 'week']"
21,2022-03-12T00:00:15.000Z,1502434258811596801,Sperry: Ukraine Worked With Democrats Against Trump In 2016 To Stop Putin -- And It Backfired Badly https://t.co/14b9SADmYn,18856867,"['sperry', 'ukraine', 'worked', 'with', 'democrat', 'against', 'trump', 'in', 'to', 'stop', 'putin', 'and', 'it', 'backfired', 'badly', 'httpstcobsadmyn']"
22,2022-03-11T23:40:14.000Z,1502429218994630658,Putin Spokesman Says Russian Economy in 'Shock' https://t.co/G3Vh6PvfB6,18856867,"['putin', 'spokesman', 'say', 'russian', 'economy', 'in', 'shock', 'httpstcogvhpvfb']"
23,2022-03-11T23:20:13.000Z,1502424181887188998,"Juror No. 50 Pleads The Fifth, Is Granted Immunity In Maxwell Trial https://t.co/L8RcMifWhD",18856867,"['juror', 'no', 'pleads', 'the', 'fifth', 'is', 'granted', 'immunity', 'in', 'maxwell', 'trial', 'httpstcolrcmifwhd']"
24,2022-03-11T23:15:22.000Z,1502422964184231938,So in two weeks https://t.co/BXjv6LxVDT,18856867,"['so', 'in', 'two', 'week', 'httpstcobxjvlxvdt']"
25,2022-03-11T23:01:38.000Z,1502419507930963968,math is hard https://t.co/fOZ2Ti5coB,18856867,"['math', 'is', 'hard', 'httpstcofozticob']"
26,2022-03-11T23:00:15.000Z,1502419156691566594,China's No. 2 Leader Li Keqiang Announces Plans To Step Down https://t.co/H6aaLCaheZ,18856867,"['china', 'no', 'leader', 'li', 'keqiang', 'announces', 'plan', 'to', 'step', 'down', 'httpstcohaalcahez']"
27,2022-03-11T22:58:10.000Z,1502418635272433676,non-suicidal protective custody https://t.co/OSHbdocRNr,18856867,"['nonsuicidal', 'protective', 'custody', 'httpstcooshbdocrnr']"
28,2022-03-11T22:56:05.000Z,1502418107662577664,"Yesterday Goldman said odds of a recession are 20-35%. 

Today it is 40%.

Reality: we are now in it. https://t.co/PmMhrB67SZ",18856867,"['yesterday', 'goldman', 'said', 'odds', 'of', 'a', 'recession', 'are', 'today', 'it', 'is', 'reality', 'we', 'are', 'now', 'in', 'it', 'httpstcopmmhrbsz']"
29,2022-03-11T22:41:24.000Z,1502414415215345668,Wall Street Stunned By Zoltan Pozsar's Latest Prediction Of What Comes Next https://t.co/HEA6RuWhyg,18856867,"['wall', 'street', 'stunned', 'by', 'zoltan', 'pozsars', 'latest', 'prediction', 'of', 'what', 'come', 'next', 'httpstcohearuwhyg']"
30,2022-03-11T22:41:02.000Z,1502414320415690756,"Off by one day.

From Feb 12: ""Goldman Capitulates, Cuts S&amp;P Price Target To 4,900, Warns Of ""Recession Downside"" To 3,600"" 

https://t.co/WytqtkBX8W https://t.co/aoRxskS5eN",18856867,"['off', 'by', 'one', 'dayfrom', 'feb', 'goldman', 'capitulates', 'cut', 'sampp', 'price', 'target', 'to', 'warns', 'of', 'recession', 'downside', 'to', 'httpstcowytqtkbxw', 'httpstcoaorxsksen']"
31,2022-03-11T22:30:35.000Z,1502411693355417602,"*GOLDMAN CUTS S&amp;P 500 TARGET TO 4,700 FROM 4,900 FOR END OF 2022",18856867,"['goldman', 'cut', 'sampp', 'target', 'to', 'from', 'for', 'end', 'of']"
32,2022-03-11T22:20:14.000Z,1502409087316803585,"Biden Blames Inflation On Putin, Big Oil And The Pandemic https://t.co/5qX4vNKpu2",18856867,"['biden', 'blame', 'inflation', 'on', 'putin', 'big', 'oil', 'and', 'the', 'pandemic', 'httpstcoqxvnkpu']"
33,2022-03-11T22:00:14.000Z,1502404054542135301,"Illinois Illegally Denied Elections Group Access To Voter Records, Federal Court Rules https://t.co/NEFDNrcHDk",18856867,"['illinois', 'illegally', 'denied', 'election', 'group', 'access', 'to', 'voter', 'record', 'federal', 'court', 'rule', 'httpstconefdnrchdk']"
34,2022-03-11T21:40:13.000Z,1502399018520956931,UN Warns Ukraine War Could Spark 20% Surge In Global Food Prices  https://t.co/gHH24LwRNj,18856867,"['un', 'warns', 'ukraine', 'war', 'could', 'spark', 'surge', 'in', 'global', 'food', 'price', 'httpstcoghhlwrnj']"
35,2022-03-11T21:39:23.000Z,1502398807576825856,Zoltan just became non-grata on every establishment outlet... and a bitcoin maxi https://t.co/3u1Ilb3vmi,18856867,"['zoltan', 'just', 'became', 'nongrata', 'on', 'every', 'establishment', 'outlet', 'and', 'a', 'bitcoin', 'maxi', 'httpstcouilbvmi']"
36,2022-03-11T21:20:13.000Z,1502393985620447235,Ferguson: The Fates Of Ukraine And Putin Turn On 7 Forces Of History https://t.co/p2TGwW65Be,18856867,"['ferguson', 'the', 'fate', 'of', 'ukraine', 'and', 'putin', 'turn', 'on', 'force', 'of', 'history', 'httpstcoptgwwbe']"
37,2022-03-11T21:07:33.000Z,1502390796493930500,*DIDI SHARES CLOSE DOWN 44% IN BIGGEST DROP ON RECORD,18856867,"['didi', 'share', 'close', 'down', 'in', 'biggest', 'drop', 'on', 'record']"
38,2022-03-11T21:04:46.000Z,1502390097471320071,"*U.S. TREASURY SANTIONS RUSSIAN POLITICAL LEADERS, OLIGARCHS",18856867,"['u', 'treasury', 'santions', 'russian', 'political', 'leader', 'oligarch']"
39,2022-03-11T21:01:12.000Z,1502389196765421572,"Bonds, Stocks, &amp; Commodities Crushed Because 'Putin' https://t.co/aPpoTRcsqO",18856867,"['bond', 'stock', 'amp', 'commodity', 'crushed', 'because', 'putin', 'httpstcoappotrcsqo']"
40,2022-03-11T21:00:49.000Z,1502389099751219211,The only way to crush enough commodity demand is to force a recession https://t.co/JRespFC3HO,18856867,"['the', 'only', 'way', 'to', 'crush', 'enough', 'commodity', 'demand', 'is', 'to', 'force', 'a', 'recession', 'httpstcojrespfcho']"
41,2022-03-11T21:00:13.000Z,1502388951738466311,https://t.co/oZzS7vhkBk,18856867,['httpstcoozzsvhkbk']
42,2022-03-11T20:56:01.000Z,1502387891548397568,"*NASDAQ GOLDEN DRAGON CHINA INDEX EXTENDS DECLINE, DOWN 10%",18856867,"['nasdaq', 'golden', 'dragon', 'china', 'index', 'extends', 'decline', 'down']"
43,2022-03-11T20:54:52.000Z,1502387603563286534,*U.S. TREASURY'S OFAC ANNOUNCES N.KOREA-RELATED ACTIONS,18856867,"['u', 'treasury', 'ofac', 'announces', 'nkorearelated', 'action']"
44,2022-03-11T20:46:17.000Z,1502385442074861568,ES down 120 from HOD,18856867,"['e', 'down', 'from', 'hod']"
45,2022-03-11T20:46:12.000Z,1502385421598265348,Facebook Defends Allowing Calls For Russian Death As Kremlin Brands Meta 'Extremist Organization' https://t.co/uVvFIagS5c,18856867,"['facebook', 'defends', 'allowing', 'call', 'for', 'russian', 'death', 'a', 'kremlin', 'brand', 'meta', 'extremist', 'organization', 'httpstcouvvfiagsc']"
46,2022-03-11T20:43:57.000Z,1502384858349326336,canaries https://t.co/3fGQSuoLHm,18856867,"['canary', 'httpstcofgqsuolhm']"
47,2022-03-11T20:35:40.000Z,1502382771532185602,"*S&amp;P 500 DROPS TO A SESSION LOW, DOWN 1%",18856867,"['sampp', 'drop', 'to', 'a', 'session', 'low', 'down']"
48,2022-03-11T20:25:13.000Z,1502380141460299785,Major 'Bomb Cyclone' Expected To Bring Heavy Snow And Wind To Eastern US https://t.co/vgn56eJv32,18856867,"['major', 'bomb', 'cyclone', 'expected', 'to', 'bring', 'heavy', 'snow', 'and', 'wind', 'to', 'eastern', 'u', 'httpstcovgnejv']"
49,2022-03-11T20:05:13.000Z,1502375110602330116,"Shanghai Shutters Schools, Builds Hospitals As COVID Comes Roaring Back Across China https://t.co/2QLK6lsh31",18856867,"['shanghai', 'shutter', 'school', 'build', 'hospital', 'a', 'covid', 'come', 'roaring', 'back', 'across', 'china', 'httpstcoqlklsh']"
50,2022-03-11T19:57:02.000Z,1502373048560852993,"LEADERS OF RUSSIA AND BELARUS AGREED THAT IN TURN, BELARUS WILL SUPPLY RUSSIA WITH MODERN AGRICULTURAL TECHNOLOGY",18856867,"['leader', 'of', 'russia', 'and', 'belarus', 'agreed', 'that', 'in', 'turn', 'belarus', 'will', 'supply', 'russia', 'with', 'modern', 'agricultural', 'technology']"
51,2022-03-11T19:55:11.000Z,1502372583588745217,DIDI -48%,18856867,['didi']
52,2022-03-11T19:53:48.000Z,1502372235482390532,"LEADERS OF RUSSIA AND BELARUS AGREED RUSSIA WILL SUPPLY MODERN MILITARY EQUIPMENT TO BELARUS, SAYS OFFICIAL BELARUS NEW AGENCY",18856867,"['leader', 'of', 'russia', 'and', 'belarus', 'agreed', 'russia', 'will', 'supply', 'modern', 'military', 'equipment', 'to', 'belarus', 'say', 'official', 'belarus', 'new', 'agency']"
53,2022-03-11T19:47:11.000Z,1502370569370624007,"Goldman: ""The conglomeration of non-stop news is coalescing to create a fog that is difficult for investors to see through. Add to this the elevated volatility across assets and the uncertainty of policy response, and markets are presenting a particularly difficult environment.""",18856867,"['goldman', 'the', 'conglomeration', 'of', 'nonstop', 'news', 'is', 'coalescing', 'to', 'create', 'a', 'fog', 'that', 'is', 'difficult', 'for', 'investor', 'to', 'see', 'through', 'add', 'to', 'this', 'the', 'elevated', 'volatility', 'across', 'asset', 'and', 'the', 'uncertainty', 'of', 'policy', 'response', 'and', 'market', 'are', 'presenting', 'a', 'particularly', 'difficult', 'environment']"
54,2022-03-11T19:45:12.000Z,1502370073276735499,"When Pigs Fly: Congress Inserts Over 4,000 Pork Earmarks In Spending Bill https://t.co/IoxJcdVUab",18856867,"['when', 'pig', 'fly', 'congress', 'insert', 'over', 'pork', 'earmark', 'in', 'spending', 'bill', 'httpstcoioxjcdvuab']"
55,2022-03-11T19:27:16.000Z,1502365557231865862,*RUSSIAN RAILWAYS IS SAID TO PAY DOLLAR-BOND COUPON 10 DAYS LATE,18856867,"['russian', 'railway', 'is', 'said', 'to', 'pay', 'dollarbond', 'coupon', 'day', 'late']"
